Index,accident_year,latitude,longitude,primary_rd,secondary_rd,population,number_killed,alcohol_involved,stwd_vehtype_at_fault,case_id,number_injured,distance,direction,month,day,year,day_of_week,hour,minute,city_code,city_name,county_code,pcf_code,collision_type_code,mviw_code,lighting_code,severity_code,road_surface_code,weather_code,dvmt
1,2013,34.03019,-117.57998,RT 60,HAVEN AV,6,0,0,Unknown,5940400,0,2000,E,1,1,2013,1,0,20,34,Ontario,,4,3,0,1,1,0,0,2160.92
2,2013,34.06048,-117.31386,MT VERNON AV,M ST,4,0,1,Passenger Car/Station Wagon,5975690,0,0,,1,1,2013,1,0,37,13,Colton,,0,6,11,5,1,0,0,787.59
3,2013,34.10993,-117.15621,GREENSPOT RD,WEAVER ST,4,0,0,Passenger Car/Station Wagon,5975411,0,0,,1,1,2013,1,0,38,21,Highland,,0,1,11,1,1,0,0,444.76
4,2013,34.1246515,-117.1667635,WINTERWOOD LN,WILLOWWOOD LN,4,0,0,Unknown,5930004,0,84,S,1,1,2013,1,0,58,21,Highland,,0,6,11,1,1,0,0,444.76
5,2013,34.30951,-117.53207,LONE PINE CANYON RD,RT 138,9,0,1,Passenger Car/Station Wagon,5946569,1,15312,S,1,1,2013,1,1,5,38,Rancho Cucamonga,,0,2,4,0,3,0,0,2312.32
6,2013,33.90669,-117.1741,MORENO BEACH DR,AUBURN LN,6,0,0,Passenger Car/Station Wagon,5996526,0,21,N,1,1,2013,1,1,6,30,Moreno Valley,,0,2,4,1,1,0,0,1631.99
7,2013,34.5213798,-117.3346909,ARLETTE DR,HOOK BL,5,0,1,Unknown,5996652,0,100,S,1,1,2013,1,1,8,48,Victorville,,5,2,4,1,1,0,0,1334.28
8,2013,34.1137946,-117.5584375,CHURCH ST,MILLIKEN AV,6,0,1,Pickup or Panel Truck,5900598,0,0,,1,1,2013,1,1,14,38,Rancho Cucamonga,,0,0,11,1,1,0,0,2312.32
9,2013,34.0661724,-117.6309641,VIRGINIA AV,ELMA ST,6,0,0,Unknown,5948490,0,50,S,1,1,2013,1,1,33,34,Ontario,,0,1,15,1,1,0,0,2160.92
10,2013,33.4793101,-117.1376401,TEMECULA PKWY,BEDFORD CT,5,0,0,Passenger Car/Station Wagon,5976966,1,0,,1,1,2013,1,1,35,45,Temecula,,0,5,11,1,2,0,0,1646.46
11,2013,34.46326,-117.3386464,COTTONWOOD AV,SYCAMORE ST,5,2,1,Passenger Car/Station Wagon,5639999,4,0,N,1,1,2013,1,1,44,20,Hesperia,,0,1,11,0,0,0,0,1438.21
